Paises;Ciudades;Actividades;Familiares;Palabras
Estados Unidos;Tokio;Concierto;Abuelo;Europa
España;Nueva York;Partido;Tío;América
Italia;Los Ángeles;Viaje;Abuela;Ásia
Alemania;Seúl;Maletas;Padre;Oceanía
Francia;Londres;Comida;Madre;África
China;París;Hotel;Papá;Paquete
Irán;Osaka;Restaurante;Mamá;Contacto
Reino Unido;Shanghái;Acompañante;Cuñado;Aglomeración
Turquía;Chicago;Clásico;Cuñada;Contagiado
Bélgica;Moscú;Despegue;Novio;Familiar
Suiza;Pekín;Barco;Novia;Compañero
Holanda;Colonia;Tour;Esposo;Trabajo
Canadá;Houston;Paseo;Esposa;Público
Brasil;Washintong DC;Turista;Tía;Baño
Portugal;Sao Paulo;Embarcación;Primo;Inmigrante
Austria;Hong Kong;Resort;Prima;Villa Nueva
Corea del Sur;Dallas;Avión;Vecino;Hospital
Israel;Ciudad de México;Helicoptero;Amigo;Enfermero
Rusia;Cantón;Bús;Nieto;Doctor
Suecia;Tiajin;Manifestación;Nieta;Doctora
Australia;Singapur;Marcha;Hijo;Enfermera
Irlanda;Nagoya;Festival;Hija;Frontera
Noruega;Shenzhen;;;Hospital temporal
Chile;Boston;;;Parque de la industria
Dinamarca;Estambul;;;El Rancho 
India;Filadelfia;;;Petén
Republica Checa;Suzhou;;;Quetzaltenango
Polonia;San Francisco;;;Patzún
Rumanía;Taipei;;;Cárcel
Japón;Yakarta;;;Policia
Ecuador;Ámsterdam;;;Bombero
Perú;Buenos Aires;;;Militar
Pakistán;Chongqing;;;Agente de la PNC
Malasia;Milán;;;Sudamérica
Filipinas;Bangkok;;;Norte América
Luxemburgo;Busan;;;Playa
Indonesia;Atlanta;;;
Arabia Saudita;Delhi;;;
México;Toronto;;;
Emiratos Árabes Unidos;Seattle;;;
Panamá;Miami;;;
Finlandia;Madrid;;;
Serbia;Bruselas;;;
Tailandia;Chengdu;;;
Catar;Wuhan;;;
República Dominicana;Frankfurt;;;
Colombia;Sídney;;;
Sudáfrica;Múnich;;;
Grecia;Hangzhou;;;
Argentina;Wuxi;;;
Ucrania;Minneapolis;;;
Singapur;Qingdao;;;
Islandia;Detriot;;;
Argelia;Pheonix;;;
Egipto;Nanjing;;;
Croacia;San Diego;;;
Marruecos;Dalian;;;
Irak;Fukuoka;;;
Estonia;Shenyang;;;
Moldavia;Changsha;;;
Eslovenia;Foshan;;;
Bielorrusia;Viena;;;
Nueva Zelanda;Manila;;;
Hong Kong;Ningbo;;;
Lituania;Melbourne;;;
Hungría;Abu Dhabi;;;
Armenia;Río de Janeiro;;;
Kuwait;Lima;;;
Azerbaiyán;Baltimore;;;
Baréin;Kuala Lumpur;;;
Bosnia y Herzegovina;Santiago de Chile;;;
Camerún;Barcelona;;;
Kazajistán;Denver;;;
Eslovaquia;Kuwait;;;
Túnez;Raid;;;
Macedonia del Norte;Roma;;;
Bulgaria;Tangshan;;;
Letonia;Hamburgo;;;
Líbano;Jeddah;;;
Andorra;San Jose;;;
Uzbekistán;Bogotá;;;
Chipre;Portland;;;
Costa Rica;Stuttgart;;;
Cuba;Berlín;;;
Afganistán;Zhengzhou;;;
Uruguay;Montreal;;;
Omán;Riverside;;;
Burkina Faso;Tel Aviv;;;
Albania;Mumbai;;;
Costa de Marfil;Yantai;;;
Taiwán;Estocolmo;;;
Jordania;Brasilia;;;
Reunión;Dongguan;;;
Honduras;Varsovia;;;
Nigér;San Luis;;;
Ghana;Pittsburgh;;;
Malta;Karlsruhe;;;
San Marino;Jinan;;;
Nigeria;Perth;;;
Mauricio;Shijiazhuang;;;
Palestina;Tampa;;;
Vietnam;Atenas;;;
Montenegro;Nantong;;;
Senegal;Harbin;;;
Bolivia;Sacramento;;;
Kenia;Copenhague;;;
Venezuela;Charlotte;;;
Guinea;Changchun;;;
Paraguay;Xi an;;;
Trinidad y Tobago;Monterrey;;;
El Salvador;Katowice;;;
Jamaica;Birmingham;;;
Bahamas;Hefei;;;
Guyana;San Petesburgo;;;
Haití;Fuzhou;;;
Sudán;Orlando;;;
Belice;Cleveland;;;
Nicaragua;Taichung;;;
Libia;Xuzhou;;;
;El Cairo;;;
;Budapest;;;
;Lyon;;;
;Lisboa;;;
;Nashville;;;
;Manchester;;;
;Dublín;;;
;Praga;;;
;Nápoles;;;
;Dubái;;;
;Turín;;;
;Helsinki;;;
;Hiroshima;;;
;Oslo;;;
;Nueva Orleans;;;
;Bremen ;;;
;Nice;;;
;Ginebra;;;
;Medellín;;;
;San Juan;;;
;Bordeaux;;;
;Leipzig;;;
;Knoxville;;;
;Bolonia;;;
;Nantes;;;
;El Paso ;;;
;Cardiff;;;
;Columbia;;;
;Bilbao;;;
;Albuquerque;;;
;Venecia ;;;
;Palermo;;;
;Génova;;;
;Florencia;;;
;Valencia;;;
;Sevilla;;;
;Zaragoza;;;
;Málaga;;;
;Murcia;;;
;Palma de Mallorca;;;
;Valladolid;;;
;Córdoba;;;
;Vigo;;;
;La Coruña;;;
;Cádiz;;;
;Granada;;;
;Toscana;;;
;Lazio;;;
;Sicilia;;;
;Bari;;;
;Catania;;;
;Torino;;;
;Venezia;;;
;Udine;;;
;Vaticano;;;
