country,city,general
Spain,Donostia-San Sebastian,"Donostia-San Sebastian, Spain"
United States,Anaheim,"Anaheim, United States"
United States,Miami Beach,"Miami Beach, United States"
Honduras,Teupasenti,"Teupasenti, Honduras"
United States,Orlando,"Orlando, United States"
Nicaragua,La Paz de Oriente,"La Paz de Oriente, Nicaragua"
Italy,Padova,"Padova, Italy"
Honduras,San Esteban,"San Esteban, Honduras"
Guatemala,Zaragoza,"Zaragoza, Guatemala"
Mexico,San Marcos,"San Marcos, Mexico"
United States,Fort Worth,"Fort Worth, United States"
Honduras,El Tránsito,"El Tránsito, Honduras"
Honduras,Tepusteca,"Tepusteca, Honduras"
Honduras,El Triunfo,"El Triunfo, Honduras"
United States,Tuscaloosa,"Tuscaloosa, United States"
Honduras,Jamalteca,"Jamalteca, Honduras"
United States,Tucson,"Tucson, United States"
Mexico,Jardin,"Jardin, Mexico"
Mexico,San Jose,"San Jose, Mexico"
United States,Las Vegas,"Las Vegas, United States"
Panama,San Francisco,"San Francisco, Panama"
United States,Indianapolis,"Indianapolis, United States"
United States,Springfield,"Springfield, United States"
United States,Wilkes Barre,"Wilkes Barre, United States"
United States,San Bernardino,"San Bernardino, United States"
United States,San Diego,"San Diego, United States"
United States,Boise,"Boise, United States"
Guatemala,El Quetzal,"El Quetzal, Guatemala"
Mexico,San Antonio,"San Antonio, Mexico"
Mexico,Adolfo Ruiz Cortines,"Adolfo Ruiz Cortines, Mexico"
Mexico,San Rafael,"San Rafael, Mexico"
United States,Dallas,"Dallas, United States"
United States,Farmington,"Farmington, United States"
United States,Beaumont,"Beaumont, United States"
United States,Syracuse,"Syracuse, United States"
Spain,Granada,"Granada, Spain"
United States,Stamford,"Stamford, United States"
United States,Columbus,"Columbus, United States"
United States,Lexington,"Lexington, United States"
United States,San Antonio,"San Antonio, United States"
Nicaragua,Dolores,"Dolores, Nicaragua"
United States,Chattanooga,"Chattanooga, United States"
Mexico,San Isidro,"San Isidro, Mexico"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
United States,Huntington,"Huntington, United States"
Spain,Madrid,"Madrid, Spain"
Nicaragua,La Paz Centro,"La Paz Centro, Nicaragua"
Costa Rica,Paraíso,"Paraíso, Costa Rica"
United States,Newport News,"Newport News, United States"
Honduras,San Nicolás,"San Nicolás, Honduras"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
United States,El Paso,"El Paso, United States"
Spain,Pamplona/Iruña,"Pamplona/Iruña, Spain"
El Salvador,Delgado,"Delgado, El Salvador"
Mexico,Chapultepec,"Chapultepec, Mexico"
United States,Washington,"Washington, United States"
United States,Albany,"Albany, United States"
Mexico,Francisco I Madero,"Francisco I Madero, Mexico"
Mexico,La Paz,"La Paz, Mexico"
Mexico,Lindavista,"Lindavista, Mexico"
El Salvador,El Rosario,"El Rosario, El Salvador"
United States,Phoenix,"Phoenix, United States"
